,fromPlaceName,0-30,30-60,60-120,120+
0,Albiano,81,192,602,87
1,Antisciana,71,451,363,45
2,Bagni di Lucca,38,152,592,148
3,Barga,165,240,479,69
4,Borgo a Mozzano,36,270,572,68
5,Borsigliana,115,156,304,202
6,Camporgiano,178,526,240,41
7,Careggine,33,64,320,274
8,Castelnuovo di Garfagnana,232,458,254,29
9,Castelvecchio Pascoli,167,342,426,31
10,Castiglione di Garfagnana,21,207,482,44
11,Cerretoli,53,109,674,97
12,Cogna,128,139,368,137
13,Colle,44,122,655,111
14,Colognola,203,195,524,61
15,Coreglia Antelminelli,0,0,40,504
16,Cortia,185,190,530,101
17,Fabbriche di Vergemoli,0,57,272,396
18,Filecchio,72,187,549,137
19,Fornaci di Barga,208,332,406,23
20,Fosciandora,5,369,540,66
21,Gallicano,161,361,435,26
22,Gragnana,167,174,522,102
23,Gragnanella,59,360,446,58
24,Livignano,103,169,315,189
25,Loppia,105,218,570,43
26,Lucca,0,92,531,317
27,Metello,36,47,226,240
28,Minucciano,30,132,428,256
29,Molazzana,25,203,547,182
30,Mologno,199,405,337,27
31,Monterotondo,76,413,424,64
32,Nicciano,202,185,516,76
33,Palleroso,28,285,608,71
34,Pescaglia,0,40,217,468
35,Petrognano,251,363,329,43
36,Petrognola,118,207,498,182
37,Piazza al Serchio,299,347,297,47
38,Pieve Fosciana,0,10,270,215
39,Ponte all'Ania,164,234,553,40
40,Renaio,5,99,234,137
41,Rontano,0,60,272,319
42,San Donnino,260,248,427,47
43,San Michele,276,225,430,52
44,San Pietro in Campo,132,384,409,35
45,San Romano in Garfagnana,92,385,415,67
46,Sant'Anastasio,85,215,561,127
47,Sillano Giuncugnano,124,165,339,191
48,Sommocolonia,5,153,405,171
49,Tiglio,5,110,258,234
50,Vergnano,174,138,357,171
51,Villa Collemandina,15,151,514,74
