fromPlaceName,0-30,30-60,60-120,120+
Albiano,9.043659043659044,19.64656964656965,62.26611226611226,9.043659043659044
Antisciana,8.817204301075268,47.52688172043011,38.924731182795696,4.731182795698925
Bagni di Lucca,4.086021505376344,18.172043010752688,62.795698924731184,14.946236559139786
Barga,18.363064008394545,24.868835257082896,49.94753410283316,6.8205666316894025
Borgo a Mozzano,6.236786469344609,26.215644820295985,60.676532769556026,6.871035940803383
Borsigliana,15.572715572715573,19.305019305019304,40.283140283140284,24.83912483912484
Camporgiano,20.304568527918782,52.79187817258884,22.84263959390863,4.060913705583756
Careggine,4.775687409551375,9.261939218523878,47.03328509406657,38.92908827785818
Castelnuovo di Garfagnana,26.002055498458375,46.557040082219935,24.871531346351492,2.5693730729701953
Castelvecchio Pascoli,17.908902691511386,36.542443064182194,42.339544513457554,3.2091097308488616
Castiglione di Garfagnana,3.8461538461538463,29.84084880636605,60.61007957559682,5.702917771883289
Cerretoli,5.680600214362272,13.719185423365488,70.52518756698821,10.07502679528403
Cogna,17.487046632124354,17.098445595854923,48.056994818652846,17.357512953367877
Colle,4.721030042918455,13.626609442060087,69.84978540772532,11.802575107296137
Colognola,22.278738555442523,19.837232960325537,51.67853509664293,6.205493387589013
Coreglia Antelminelli,0.0,0.0,7.352941176470589,92.64705882352942
Cortia,18.886679920477135,18.886679920477135,52.385685884691846,9.840954274353876
Fabbriche di Vergemoli,0.0,8.551724137931034,36.82758620689655,54.62068965517241
Filecchio,7.6190476190476195,20.423280423280424,57.460317460317455,14.497354497354497
Fornaci di Barga,21.981424148606813,35.190918472652214,40.454076367389064,2.3735810113519094
Fosciandora,1.0204081632653061,38.46938775510204,53.9795918367347,6.530612244897959
Gallicano,17.59918616480163,35.50356052899288,44.354018311291966,2.5432349949135302
Gragnana,17.305699481865286,18.134715025906736,54.50777202072538,10.05181347150259
Gragnanella,6.392199349945829,39.76164680390033,48.104008667388946,5.742145178764897
Livignano,15.206185567010309,19.84536082474227,41.108247422680414,23.840206185567013
Loppia,11.752136752136751,22.756410256410255,61.43162393162393,4.05982905982906
Lucca,0.0,9.893617021276595,57.340425531914896,32.76595744680851
Metello,6.557377049180328,8.561020036429873,42.07650273224044,42.80510018214937
Minucciano,3.546099290780142,15.602836879432624,51.182033096926716,29.66903073286052
Molazzana,3.657262277951933,20.27168234064786,57.68025078369906,18.39080459770115
Mologno,22.107438016528928,41.425619834710744,33.78099173553719,2.6859504132231407
Monterotondo,8.802456499488228,42.784032753326514,42.57932446264074,5.834186284544525
Nicciano,21.450459652706844,18.794688457609805,52.706843718079675,6.537282941777324
Palleroso,2.82258064516129,30.241935483870968,59.87903225806451,7.056451612903227
Pescaglia,0.0,7.586206896551724,28.551724137931032,63.86206896551724
Petrognano,27.180527383367142,36.004056795131845,32.55578093306288,4.259634888438134
Petrognola,11.741293532338307,20.796019900497512,51.542288557213936,15.92039800995025
Piazza al Serchio,30.2020202020202,36.464646464646464,28.58585858585859,4.747474747474747
Pieve Fosciana,0.0,2.0202020202020203,55.55555555555556,42.42424242424242
Ponte all'Ania,16.851664984863774,24.520686175580224,55.39858728557013,3.229061553985873
Renaio,1.0526315789473684,22.105263157894736,48.0,28.842105263157897
Rontano,0.0,11.367127496159753,41.013824884792626,47.61904761904761
San Donnino,26.782077393075355,26.883910386965375,41.54786150712831,4.786150712830957
San Michele,28.891149542217704,22.88911495422177,42.92980671414038,5.289928789420142
San Pietro in Campo,15.0,39.6875,41.66666666666667,3.6458333333333335
San Romano in Garfagnana,10.636079249217936,39.31178310740355,43.89989572471325,6.152241918665276
Sant'Anastasio,9.008097165991904,22.16599190283401,56.07287449392713,12.753036437246964
Sillano Giuncugnano,16.605616605616603,18.681318681318682,41.88034188034188,22.832722832722833
Sommocolonia,0.6811989100817438,21.525885558583106,54.63215258855586,23.160762942779293
Tiglio,0.8237232289950577,18.616144975288304,43.32784184514003,37.23228995057661
Vergnano,20.714285714285715,16.666666666666664,42.38095238095238,20.238095238095237
Villa Collemandina,2.9177718832891246,19.76127320954907,67.77188328912467,9.549071618037134
