Comune,2011,2016,2021
Bagni di Lucca,5754,5457,5593
Barga,9418,9108,9491
Borgo a Mozzano,6794,6606,6667
Camporgiano,2182,2032,2041
Careggine,582,538,509
Castelnuovo di Garfagnana,5697,5557,5650
Castiglione di Garfagnana,1803,1731,1707
Coreglia Antelminelli,4955,4888,5096
Fabbriche di Vergemoli,845,804,715
Fosciandora,586,540,559
Gallicano,3638,3511,3613
Minucciano,2197,2009,1826
Molazzana,1105,1000,1010
Pescaglia,3537,3345,3306
Piazza al Serchio,2387,2273,2144
Pieve Fosciana,2320,2279,2263
San Romano in Garfagnana,1398,1352,1352
Villa Collemandina,1309,1241,839
Sillano (Giuncugnano)*,1113,1041,1215
